"date","hour","city","country","is_day","time","day_of_week","month_of_year","wind_kph","precip_mm","feelslike_c","windchill_c","chance_of_rain","uv","sunny_hours","rainy_hours","cloudy_hours","snowy_hours"
2023-04-18,"00:00",Berlin,Germany,0,00:00:00,Tuesday  ,April    ,14.8,0.0,1.7,1.7,0,1.0,0,0,1,0
2023-04-18,"01:00",Berlin,Germany,0,01:00:00,Tuesday  ,April    ,14.8,0.0,2.4,2.4,0,1.0,0,0,1,0
2023-04-18,"02:00",Berlin,Germany,0,02:00:00,Tuesday  ,April    ,15.1,0.0,1.8,1.8,0,1.0,0,0,1,0
2023-04-18,"03:00",Berlin,Germany,0,03:00:00,Tuesday  ,April    ,15.5,0.0,1.1,1.1,0,1.0,0,0,1,0
2023-04-18,"04:00",Berlin,Germany,0,04:00:00,Tuesday  ,April    ,15.8,0.0,1.5,1.5,0,1.0,0,0,1,0
2023-04-18,"05:00",Berlin,Germany,0,05:00:00,Tuesday  ,April    ,17.3,0.0,1.5,1.5,0,1.0,0,0,1,0
2023-04-18,"06:00",Berlin,Germany,0,06:00:00,Tuesday  ,April    ,17.6,0.0,1.7,1.7,0,1.0,0,0,1,0
2023-04-18,"07:00",Berlin,Germany,1,07:00:00,Tuesday  ,April    ,18.4,0.0,2.0,2.0,0,2.0,0,0,1,0
2023-04-18,"08:00",Berlin,Germany,1,08:00:00,Tuesday  ,April    ,18.4,0.0,2.4,2.4,0,2.0,0,0,1,0
2023-04-18,"09:00",Berlin,Germany,1,09:00:00,Tuesday  ,April    ,17.6,0.2,3.0,3.0,100,2.0,0,1,0,0
2023-04-18,"10:00",Berlin,Germany,1,10:00:00,Tuesday  ,April    ,17.3,0.0,3.7,3.7,0,2.0,0,0,1,0
2023-04-18,"11:00",Berlin,Germany,1,11:00:00,Tuesday  ,April    ,17.3,0.0,4.4,4.4,0,2.0,0,0,1,0
2023-04-18,"12:00",Berlin,Germany,1,12:00:00,Tuesday  ,April    ,16.9,0.0,6.6,6.6,0,2.0,0,0,1,0
2023-04-18,"13:00",Berlin,Germany,1,13:00:00,Tuesday  ,April    ,17.6,0.0,7.7,7.7,0,3.0,0,0,1,0
2023-04-18,"14:00",Berlin,Germany,1,14:00:00,Tuesday  ,April    ,17.3,0.1,8.9,8.9,100,3.0,0,1,0,0
2023-04-18,"15:00",Berlin,Germany,1,15:00:00,Tuesday  ,April    ,15.5,0.0,9.8,9.8,0,3.0,0,0,1,0
2023-04-18,"16:00",Berlin,Germany,1,16:00:00,Tuesday  ,April    ,13.0,0.0,10.4,10.4,0,3.0,0,0,1,0
2023-04-18,"17:00",Berlin,Germany,1,17:00:00,Tuesday  ,April    ,17.3,0.0,10.0,10.0,0,3.0,0,0,1,0
2023-04-18,"18:00",Berlin,Germany,1,18:00:00,Tuesday  ,April    ,18.7,0.0,9.0,9.0,0,3.0,0,0,1,0
2023-04-18,"19:00",Berlin,Germany,1,19:00:00,Tuesday  ,April    ,19.8,0.0,8.4,8.4,0,3.0,0,0,1,0
2023-04-18,"20:00",Berlin,Germany,1,20:00:00,Tuesday  ,April    ,22.3,0.0,5.5,5.5,0,3.0,1,0,0,0
2023-04-18,"21:00",Berlin,Germany,0,21:00:00,Tuesday  ,April    ,20.9,0.0,3.9,3.9,0,1.0,0,0,1,0
2023-04-18,"22:00",Berlin,Germany,0,22:00:00,Tuesday  ,April    ,20.5,0.0,3.0,3.0,0,1.0,0,0,1,0
2023-04-18,"23:00",Berlin,Germany,0,23:00:00,Tuesday  ,April    ,19.8,0.0,2.4,2.4,0,1.0,0,0,1,0
2023-04-19,"00:00",Berlin,Germany,0,00:00:00,Wednesday,April    ,21.2,0.0,0.9,0.9,0,1.0,1,0,0,0
2023-04-19,"01:00",Berlin,Germany,0,01:00:00,Wednesday,April    ,20.2,0.0,-0.2,-0.2,0,1.0,1,0,0,0
2023-04-19,"02:00",Berlin,Germany,0,02:00:00,Wednesday,April    ,20.5,0.0,-1.3,-1.3,0,1.0,0,0,1,0
2023-04-19,"03:00",Berlin,Germany,0,03:00:00,Wednesday,April    ,20.2,0.0,-1.4,-1.4,0,1.0,0,0,1,0
2023-04-19,"04:00",Berlin,Germany,0,04:00:00,Wednesday,April    ,22.3,0.0,-1.2,-1.2,0,1.0,0,0,1,0
2023-04-19,"05:00",Berlin,Germany,0,05:00:00,Wednesday,April    ,22.0,0.0,-0.7,-0.7,0,1.0,0,0,1,0
2023-04-19,"06:00",Berlin,Germany,0,06:00:00,Wednesday,April    ,18.4,0.0,0.2,0.2,0,1.0,0,0,1,0
2023-04-19,"07:00",Berlin,Germany,1,07:00:00,Wednesday,April    ,18.7,0.0,0.9,0.9,0,1.0,0,0,1,0
2023-04-19,"08:00",Berlin,Germany,1,08:00:00,Wednesday,April    ,21.6,0.0,1.0,1.0,0,2.0,0,0,1,0
2023-04-19,"09:00",Berlin,Germany,1,09:00:00,Wednesday,April    ,18.7,0.0,0.9,0.9,0,1.0,0,0,1,0
2023-04-19,"10:00",Berlin,Germany,1,10:00:00,Wednesday,April    ,18.0,0.0,2.7,2.7,0,2.0,0,0,1,0
2023-04-19,"11:00",Berlin,Germany,1,11:00:00,Wednesday,April    ,20.1,0.0,3.0,3.0,0,2.0,0,0,1,0
2023-04-19,"12:00",Berlin,Germany,1,12:00:00,Wednesday,April    ,20.1,0.0,4.0,4.0,0,2.0,0,0,1,0
2023-04-19,"13:00",Berlin,Germany,1,13:00:00,Wednesday,April    ,18.4,0.1,5.1,5.1,100,2.0,0,1,0,0
2023-04-19,"14:00",Berlin,Germany,1,14:00:00,Wednesday,April    ,18.0,0.2,5.3,5.3,100,2.0,0,1,0,0
2023-04-19,"15:00",Berlin,Germany,1,15:00:00,Wednesday,April    ,17.6,0.1,4.4,4.4,100,2.0,0,1,0,0
2023-04-19,"16:00",Berlin,Germany,1,16:00:00,Wednesday,April    ,16.9,0.1,3.2,3.2,100,2.0,0,1,0,0
2023-04-19,"17:00",Berlin,Germany,1,17:00:00,Wednesday,April    ,16.6,0.2,2.1,2.1,100,2.0,0,1,0,0
2023-04-19,"18:00",Berlin,Germany,1,18:00:00,Wednesday,April    ,17.3,0.2,0.4,0.4,100,1.0,0,1,0,0
2023-04-19,"19:00",Berlin,Germany,1,19:00:00,Wednesday,April    ,15.6,0.3,0.9,0.9,100,1.0,0,1,0,0
2023-04-19,"20:00",Berlin,Germany,1,20:00:00,Wednesday,April    ,11.5,0.2,1.5,1.5,100,1.0,0,1,0,0
2023-04-19,"21:00",Berlin,Germany,0,21:00:00,Wednesday,April    ,10.8,0.4,1.8,1.8,100,1.0,0,1,0,0
2023-04-19,"22:00",Berlin,Germany,0,22:00:00,Wednesday,April    ,9.7,0.2,2.2,2.2,100,1.0,0,1,0,0
2023-04-19,"23:00",Berlin,Germany,0,23:00:00,Wednesday,April    ,9.4,0.2,2.7,2.7,100,1.0,0,1,0,0
2023-04-20,"00:00",Berlin,Germany,0,00:00:00,Thursday ,April    ,8.4,0.3,2.6,2.6,100,1.0,0,1,0,0
2023-04-20,"01:00",Berlin,Germany,0,01:00:00,Thursday ,April    ,7.1,0.0,3.0,3.0,0,1.0,0,0,1,0
2023-04-20,"02:00",Berlin,Germany,0,02:00:00,Thursday ,April    ,6.2,0.0,3.2,3.2,0,1.0,0,0,1,0
2023-04-20,"03:00",Berlin,Germany,0,03:00:00,Thursday ,April    ,3.6,0.0,4.0,4.0,0,1.0,0,0,1,0
2023-04-20,"04:00",Berlin,Germany,0,04:00:00,Thursday ,April    ,4.7,0.0,3.1,3.1,0,1.0,1,0,0,0
2023-04-20,"05:00",Berlin,Germany,0,05:00:00,Thursday ,April    ,5.8,0.0,2.4,2.4,0,1.0,1,0,0,0
2023-04-20,"06:00",Berlin,Germany,1,06:00:00,Thursday ,April    ,5.8,0.0,2.6,2.6,0,2.0,1,0,0,0
2023-04-20,"07:00",Berlin,Germany,1,07:00:00,Thursday ,April    ,7.6,0.1,1.9,1.9,100,1.0,0,1,0,0
2023-04-20,"08:00",Berlin,Germany,1,08:00:00,Thursday ,April    ,8.3,0.8,3.5,3.5,100,2.0,0,1,0,0
2023-04-20,"09:00",Berlin,Germany,1,09:00:00,Thursday ,April    ,10.1,0.0,4.8,4.8,0,2.0,0,0,1,0
2023-04-20,"10:00",Berlin,Germany,1,10:00:00,Thursday ,April    ,12.2,0.0,6.6,6.6,0,3.0,1,0,0,0
2023-04-20,"11:00",Berlin,Germany,1,11:00:00,Thursday ,April    ,14.4,0.1,8.6,8.6,100,3.0,0,1,0,0
2023-04-20,"12:00",Berlin,Germany,1,12:00:00,Thursday ,April    ,16.6,0.0,9.7,9.7,0,4.0,0,0,1,0
2023-04-20,"13:00",Berlin,Germany,1,13:00:00,Thursday ,April    ,15.5,0.0,11.1,11.1,0,3.0,0,0,1,0
2023-04-20,"14:00",Berlin,Germany,1,14:00:00,Thursday ,April    ,19.1,0.0,8.7,8.7,0,3.0,0,0,1,0
2023-04-20,"15:00",Berlin,Germany,1,15:00:00,Thursday ,April    ,18.7,0.0,10.9,10.9,0,3.0,0,0,1,0
2023-04-20,"16:00",Berlin,Germany,1,16:00:00,Thursday ,April    ,19.4,0.0,11.2,11.2,0,3.0,0,0,1,0
2023-04-20,"17:00",Berlin,Germany,1,17:00:00,Thursday ,April    ,15.7,0.0,11.1,11.1,0,4.0,0,0,1,0
2023-04-20,"18:00",Berlin,Germany,1,18:00:00,Thursday ,April    ,13.3,0.0,12.0,12.0,0,4.0,0,0,1,0
