,date,year,month_of_year,month,city,country,max_temp_c,min_temp_c,avg_temp_c,lat,lon,timezone_id
0,2023-04-29,2023,April    ,4,Berlin,Germany,12.5,8.7,10.6,52.52,13.4,Europe/Berlin
1,2023-04-19,2023,April    ,4,Berlin,Germany,8.2,3.1,5.1,52.52,13.4,Europe/Berlin
2,2023-04-24,2023,April    ,4,Berlin,Germany,16.0,8.2,12.5,52.52,13.4,Europe/Berlin
3,2023-04-27,2023,April    ,4,Berlin,Germany,12.0,2.2,7.5,52.52,13.4,Europe/Berlin
4,2023-04-18,2023,April    ,4,Berlin,Germany,11.9,4.5,7.6,52.52,13.4,Europe/Berlin
5,2023-04-21,2023,April    ,4,Berlin,Germany,19.1,8.7,13.2,52.52,13.4,Europe/Berlin
6,2023-04-22,2023,April    ,4,Berlin,Germany,20.0,7.7,13.9,52.52,13.4,Europe/Berlin
7,2023-04-25,2023,April    ,4,Berlin,Germany,11.2,5.1,7.8,52.52,13.4,Europe/Berlin
8,2023-04-20,2023,April    ,4,Berlin,Germany,13.2,3.8,8.5,52.52,13.4,Europe/Berlin
9,2023-04-26,2023,April    ,4,Berlin,Germany,10.3,2.3,6.4,52.52,13.4,Europe/Berlin
10,2023-04-23,2023,April    ,4,Berlin,Germany,16.4,10.3,12.7,52.52,13.4,Europe/Berlin
11,2023-04-30,2023,April    ,4,Berlin,Germany,15.7,4.6,9.9,52.52,13.4,Europe/Berlin
12,2023-04-28,2023,April    ,4,Berlin,Germany,13.6,3.3,8.9,52.52,13.4,Europe/Berlin
13,2023-05-31,2023,May      ,5,Berlin,Germany,24.6,10.4,17.6,52.52,13.4,Europe/Berlin
14,2023-05-02,2023,May      ,5,Berlin,Germany,12.9,7.3,10.0,52.52,13.4,Europe/Berlin
15,2023-05-18,2023,May      ,5,Berlin,Germany,15.2,5.2,10.8,52.52,13.4,Europe/Berlin
16,2023-05-04,2023,May      ,5,Berlin,Germany,18.0,4.3,11.3,52.52,13.4,Europe/Berlin
17,2023-05-26,2023,May      ,5,Berlin,Germany,19.6,8.2,13.8,52.52,13.4,Europe/Berlin
18,2023-05-10,2023,May      ,5,Berlin,Germany,17.9,9.5,13.8,52.52,13.4,Europe/Berlin
19,2023-05-19,2023,May      ,5,Berlin,Germany,18.1,6.9,13.0,52.52,13.4,Europe/Berlin
20,2023-05-25,2023,May      ,5,Berlin,Germany,19.9,8.8,14.6,52.52,13.4,Europe/Berlin
