"date","year","month_of_year","month","city","country","max_temp_c","min_temp_c","avg_temp_c"
2023-04-18,2023.0,April    ,4.0,Berlin,Germany,11.90,4.50,7.60
2023-04-20,2023.0,April    ,4.0,Berlin,Germany,13.20,3.80,8.50
2023-04-21,2023.0,April    ,4.0,Berlin,Germany,19.10,8.70,13.20
2023-04-25,2023.0,April    ,4.0,Berlin,Germany,11.20,5.10,7.80
2023-04-30,2023.0,April    ,4.0,Berlin,Germany,15.70,4.60,9.90
2023-04-19,2023.0,April    ,4.0,Berlin,Germany,8.20,3.10,5.10
2023-04-27,2023.0,April    ,4.0,Berlin,Germany,12.00,2.20,7.50
2023-04-26,2023.0,April    ,4.0,Berlin,Germany,10.30,2.30,6.40
2023-04-22,2023.0,April    ,4.0,Berlin,Germany,20.00,7.70,13.90
2023-04-28,2023.0,April    ,4.0,Berlin,Germany,13.60,3.30,8.90
2023-04-23,2023.0,April    ,4.0,Berlin,Germany,16.40,10.30,12.70
2023-04-29,2023.0,April    ,4.0,Berlin,Germany,12.50,8.70,10.60
2023-04-24,2023.0,April    ,4.0,Berlin,Germany,16.00,8.20,12.50
2023-05-24,2023.0,May      ,5.0,Berlin,Germany,16.50,7.90,12.60
2023-05-18,2023.0,May      ,5.0,Berlin,Germany,15.20,5.20,10.80
2023-05-26,2023.0,May      ,5.0,Berlin,Germany,19.60,8.20,13.80
2023-05-22,2023.0,May      ,5.0,Berlin,Germany,26.20,14.60,20.00
2023-05-06,2023.0,May      ,5.0,Berlin,Germany,10.80,7.00,8.60
2023-05-27,2023.0,May      ,5.0,Berlin,Germany,20.90,8.10,15.00
2023-05-04,2023.0,May      ,5.0,Berlin,Germany,18.00,4.30,11.30
2023-05-01,2023.0,May      ,5.0,Berlin,Germany,18.80,4.20,11.70
2023-05-05,2023.0,May      ,5.0,Berlin,Germany,18.10,7.00,12.70
2023-05-14,2023.0,May      ,5.0,Berlin,Germany,19.20,9.30,14.90
2023-05-19,2023.0,May      ,5.0,Berlin,Germany,18.10,6.90,13.00
2023-05-17,2023.0,May      ,5.0,Berlin,Germany,15.00,6.00,10.50
2023-05-08,2023.0,May      ,5.0,Berlin,Germany,16.90,5.10,11.00
2023-05-25,2023.0,May      ,5.0,Berlin,Germany,19.90,8.80,14.60
2023-05-02,2023.0,May      ,5.0,Berlin,Germany,12.90,7.30,10.00
2023-05-16,2023.0,May      ,5.0,Berlin,Germany,17.20,8.90,12.00
2023-05-11,2023.0,May      ,5.0,Berlin,Germany,20.40,11.40,15.80
2023-05-30,2023.0,May      ,5.0,Berlin,Germany,22.30,8.70,15.60
2023-05-03,2023.0,May      ,5.0,Berlin,Germany,15.40,4.80,9.90
2023-05-28,2023.0,May      ,5.0,Berlin,Germany,23.30,9.70,17.00
2023-05-15,2023.0,May      ,5.0,Berlin,Germany,18.60,10.60,14.50
2023-05-09,2023.0,May      ,5.0,Berlin,Germany,19.50,6.50,13.00
2023-05-13,2023.0,May      ,5.0,Berlin,Germany,21.50,10.80,16.10
2023-05-07,2023.0,May      ,5.0,Berlin,Germany,14.10,7.80,10.20
2023-05-20,2023.0,May      ,5.0,Berlin,Germany,21.00,9.30,14.80
2023-05-29,2023.0,May      ,5.0,Berlin,Germany,20.90,12.00,16.00
2023-05-10,2023.0,May      ,5.0,Berlin,Germany,17.90,9.50,13.80
2023-05-31,2023.0,May      ,5.0,Berlin,Germany,24.60,10.40,17.60
